"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","category"
"H2-K1.Mac",3.40534604765395e-102,-0.320013131100225,0.949,0.898,4.17052730456179e-98,"Mac","H2-K1","CM"
"Runx3.Mac",3.4861343135203e-102,-0.443147944685834,0.11,0.236,4.26946869376831e-98,"Mac","Runx3","TF"
"Rdh12.Mac",1.06877261562904e-101,-0.578755772480479,0.036,0.14,1.30892582236089e-97,"Mac","Rdh12",NA
"Btla.Mac",1.20621723449912e-101,-0.28791994461955,0.018,0.111,1.47725424709108e-97,"Mac","Btla","CM"
"Ms4a6b.Mac",4.54839925739286e-101,-0.529565275743571,0.197,0.331,5.57042457052904e-97,"Mac","Ms4a6b",NA
"Bcl11a.Mac",5.99586226626639e-100,-0.360186249959594,0.021,0.115,7.34313251749645e-96,"Mac","Bcl11a","TF"
"Kbtbd11.Mac",6.19360725246023e-100,-0.267139833900589,0.017,0.108,7.58531080208804e-96,"Mac","Kbtbd11",NA
"Socs1.Mac",1.56788212397703e-99,-0.347168317369263,0.04,0.144,1.92018523723467e-95,"Mac","Socs1",NA
"H2-T23.Mac",1.82607520582392e-99,-0.419565284535492,0.577,0.59,2.23639430457256e-95,"Mac","H2-T23","CM"
"Cbx7.Mac",3.57241485607133e-97,-0.29325874011641,0.023,0.116,4.37513647423055e-93,"Mac","Cbx7",NA
"Ppp1r15a.Mac",8.76179498126139e-97,-0.573634422240371,0.35,0.447,1.07305703135508e-92,"Mac","Ppp1r15a",NA
"Icam2.Mac",4.03169073069828e-96,-0.337233076452177,0.035,0.134,4.93761163788619e-92,"Mac","Icam2","CM"
"Hsd11b1.Mac",2.54779007137579e-94,-0.343663205891715,0.031,0.127,3.12027850041394e-90,"Mac","Hsd11b1",NA
"Ier5.Mac",1.84388865928604e-92,-0.427681288191847,0.659,0.657,2.25821044102762e-88,"Mac","Ier5",NA
"Clk1.Mac",1.37249338405197e-91,-0.482419711783202,0.454,0.504,1.68089264744844e-87,"Mac","Clk1",NA
"Psip1.Mac",2.17369231649931e-91,-0.409561416826098,0.108,0.223,2.6621209800167e-87,"Mac","Psip1",NA
"Slc38a2.Mac",4.5145842046337e-91,-0.451611755157781,0.55,0.573,5.52901127541489e-87,"Mac","Slc38a2","CM"
"Hmgb2.Mac",9.71518634292194e-91,-0.410944677160468,0.579,0.609,1.18981887141765e-86,"Mac","Hmgb2","TF"
"Saa3.Mac",1.22002259895679e-90,0.36440079259473,0.114,0.032,1.49416167694238e-86,"Mac","Saa3","Sec"
"Gpr18.Mac",1.26406972552442e-88,-0.296234535241452,0.024,0.111,1.54810619284976e-84,"Mac","Gpr18",NA
"Tubb5.Mac",6.00909147819655e-87,0.275667919979308,0.759,0.513,7.35933433334732e-83,"Mac","Tubb5","CM"
"Cd82.Mac",2.25904271133946e-86,-0.556766234849833,0.248,0.346,2.76664960857744e-82,"Mac","Cd82","CM"
"Serpina3g.Mac",2.59342689588858e-86,-0.306328651109381,0.022,0.106,3.17616991939475e-82,"Mac","Serpina3g",NA
"Ccrl2.Mac",3.10186305096059e-86,-0.834100303394752,0.504,0.281,3.79885167851143e-82,"Mac","Ccrl2",NA
"Cxcl2.Mac",4.63106583380372e-86,-1.09389367616572,0.829,0.608,5.67166632665942e-82,"Mac","Cxcl2","Sec"
"Clec2i.Mac",7.66978668734954e-85,-0.270810977311054,0.025,0.111,9.39318775599698e-81,"Mac","Clec2i",NA
"Ifi203.Mac",3.64050497754427e-84,-0.482049801079154,0.195,0.303,4.45852644599846e-80,"Mac","Ifi203",NA
"Son.Mac",6.93232508316461e-84,-0.272455336396931,0.816,0.755,8.49001852935169e-80,"Mac","Son","TF"
"Jaml.Mac",8.03723571276702e-84,-0.485716824721891,0.099,0.208,9.84320257742577e-80,"Mac","Jaml",NA
"Trp53i11.Mac",1.04953270002707e-82,-0.299048885170065,0.033,0.121,1.28536269772316e-78,"Mac","Trp53i11",NA
"Prkd2.Mac",1.72418017071209e-82,-0.2975526575188,0.038,0.129,2.11160345507109e-78,"Mac","Prkd2",NA
